ticker,ff12,ff12_source,classification_confidence
ARTNA,8,legacy_symbols_with_sector,
ARTW,3,legacy_symbols_with_sector,
ARVN,10,legacy_symbols_with_sector,
ARW,9,legacy_symbols_with_sector,
ARWR,10,legacy_symbols_with_sector,
ARX,11,legacy_symbols_with_sector,
ASAN,6,legacy_symbols_with_sector,
ASB,11,legacy_symbols_with_sector,
ASBP,10,legacy_symbols_with_sector,
ASBPW,10,legacy_symbols_with_sector,
ASC,12,legacy_symbols_with_sector,
ASGI,12,legacy_symbols_with_sector,
ASH,9,legacy_symbols_with_sector,
ASIX,5,legacy_symbols_with_sector,
ASLE,9,legacy_symbols_with_sector,
ASM,12,legacy_symbols_with_sector,
ASMB,10,legacy_symbols_with_sector,
ASML,3,legacy_symbols_with_sector,
ASND,10,legacy_symbols_with_sector,
ASNS,6,legacy_symbols_with_sector,
ASO,9,legacy_symbols_with_sector,
ASPI,5,legacy_symbols_with_sector,
ASPN,9,legacy_symbols_with_sector,
ASPS,12,legacy_symbols_with_sector,
ASR,12,legacy_symbols_with_sector,
ASRT,10,legacy_symbols_with_sector,
ASRV,11,legacy_symbols_with_sector,
ASTC,6,legacy_symbols_with_sector,
ASTE,3,legacy_symbols_with_sector,
ASTH,12,legacy_symbols_with_sector,
ASTI,6,legacy_symbols_with_sector,
ASTL,3,legacy_symbols_with_sector,
ASTLW,3,legacy_symbols_with_sector,
ASTS,7,legacy_symbols_with_sector,
ASUR,6,legacy_symbols_with_sector,
ASX,6,legacy_symbols_with_sector,
ASYS,3,legacy_symbols_with_sector,
ATAI,10,legacy_symbols_with_sector,
ATAT,12,legacy_symbols_with_sector,
ATCH,11,legacy_symbols_with_sector,
ATCX,12,legacy_symbols_with_sector,
ATEC,10,legacy_symbols_with_sector,
ATEN,6,legacy_symbols_with_sector,
ATER,2,legacy_symbols_with_sector,
ATEX,7,legacy_symbols_with_sector,
ATHE,10,legacy_symbols_with_sector,
ATHM,6,legacy_symbols_with_sector,
ATI,3,legacy_symbols_with_sector,
ATKR,6,legacy_symbols_with_sector,
ATLC,11,legacy_symbols_with_sector,
ATLCL,11,legacy_symbols_with_sector,
ATLCP,11,legacy_symbols_with_sector,
ATLN,12,legacy_symbols_with_sector,
ATLO,11,legacy_symbols_with_sector,
ATLX,12,legacy_symbols_with_sector,
ATNI,7,legacy_symbols_with_sector,
ATNM,10,legacy_symbols_with_sector,
ATO,8,legacy_symbols_with_sector,
ATOM,6,legacy_symbols_with_sector,
ATOS,10,legacy_symbols_with_sector,
ATPC,10,legacy_symbols_with_sector,
ATR,3,legacy_symbols_with_sector,
