ticker,cik,sic,ff12,ff48,ff49,ff_label,ff12_source,classification_confidence,classification_issue,secondary_sector,secondary_industry,secondary_source,secondary_reason,sic_desc
AGCO,880266,3523.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
AGEN,1098972,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AGH,2009312,7997.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AGI,1178819,1040.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AGIG,1156041,1311.0,4,-1,-1,Enrgy,sic_mapping,high,,,,,,
AGIO,1439222,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AGL,1831097,8090.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AGM,845877,6111.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AGM-A,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGM.A,845877,6111.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AGMH,1705402,7371.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AGNC,1423689,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AGNCL,1423689,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AGNCM,1423689,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AGNCN,1423689,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AGNCO,1423689,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AGNCP,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGO,1273813,6351.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AGPU,1446159,3842.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AGRO,1499505,100.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
AGX,100591,1700.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AGYS,78749,7373.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AHCO,1725255,8082.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AHG,1702318,7389.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AHR,1632970,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AHRT,1569187,6500.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AHT,1232582,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AI,1577526,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AIFC,862861,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AIFF,803578,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AIFU,1413855,6411.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AIG,5272,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AIHS,1711012,7510.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AII,2007587,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AIIO,1932737,3711.0,2,-1,-1,Durbl,sic_mapping,high,,,,,,
AIIOW,,,2,-1,-1,Durbl,legacy_backtest,high,,,,,,
AIIR,2097725,2100.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
AIM,946644,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AIMD,1014763,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AIMDW,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AIN,819793,2221.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
AIO,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AIOS,1603993,3490.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
AIOT,1774170,3669.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AIP,1667011,3674.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AIR,1750,3720.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
AIRE,1859199,6500.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AIRG,1272842,3663.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AIRI,1009891,3728.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
AIRJ,1855474,3585.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
AIRS,1870940,8011.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AIRT,353184,4513.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
