symbol,first_eligible_trade_date,source,notes
AIMD,2022-01-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIN,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIO,2020-10-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIOS,2017-12-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIOT,2000-06-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIP,2022-10-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIR,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIRG,2017-08-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIRI,2001-10-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIRS,2022-10-31,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIRT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIRTP,2020-06-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AISP,2022-05-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIV,1995-07-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIXC,2016-06-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIZ,2005-02-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIZN,2021-11-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AJG,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AKA,2022-09-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AKAM,2000-10-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AKAN,2023-03-16,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AKBA,2015-03-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AKR,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AKTX,2015-01-06,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AL,2012-04-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALAR,2019-08-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALB,1995-02-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALBT,2019-03-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALC,2020-04-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALCO,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALDX,2015-05-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALEC,2020-02-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALG,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALGM,2021-10-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALGN,2002-02-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALGS,2021-10-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALGT,2007-12-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALHC,2022-03-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALIT,2021-07-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALK,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALKS,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALKT,2022-04-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALL,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALLE,2014-11-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALLO,2019-10-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALLR,2022-12-21,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALLT,2007-11-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALLY,2015-01-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALNT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALNY,2005-06-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALOT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALOY,2017-08-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALRM,2016-06-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALRS,2004-03-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALSN,2013-03-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALT,2018-05-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALTG,2020-04-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALTI,2022-04-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALTO,2006-03-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALV,1998-04-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALVO,2023-06-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALX,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALXO,2021-07-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALYAF,1997-09-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ALZN,2022-06-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AM,2018-05-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMAL,2019-08-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMAT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMBA,2013-10-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMBO,2019-06-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMBP,2022-08-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMBR,2018-12-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMC,2014-12-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMCR,2013-05-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMCX,2012-06-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMD,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AME,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMG,1998-11-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMGN,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMH,2014-08-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMKR,1999-05-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMLX,2023-01-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMN,2002-11-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMOD,2022-10-31,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMP,2006-09-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMPG,2022-01-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMPH,2015-06-25,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMPL,2022-09-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMPX,2023-09-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMPY,2013-04-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMR,2022-02-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMRC,2011-07-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMRN,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMRX,2019-05-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMS,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMSC,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMSF,2006-11-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMST,2021-09-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMT,1999-03-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMTB,2019-10-21,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMTD,2020-08-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMTX,2007-06-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMWD,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMWL,2021-09-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMX,2002-02-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMZE,2022-12-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AMZN,1998-05-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AN,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANAB,2018-01-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANDE,1997-02-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANET,2015-06-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANF,1997-09-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANGH,2021-08-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANGI,2012-11-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANGO,2005-06-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANIK,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANIP,2001-05-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANIX,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANNA,2023-02-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANNX,2021-07-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANTX,2023-03-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANVS,2021-01-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ANY,2014-08-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AOMR,2022-06-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AON,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
