symbol,status,latest_date,row_count,futu_basic_available,futu_stock_type,futu_exchange_type,futu_name,final_futu_history_status,final_futu_latest_date,final_futu_history_rows,final_futu_error
DCFBS,empty_csv,,0,True,STOCK,US_PINK,DCFC HOLDINGS LLC,history_error,,0.0,Do not support OTC market data DCFBS
DDHLY,stale_csv,2026-01-05,1,True,STOCK,US_PINK,DIGITAL DOMAIN HOLDINGS LIMITED SPON ADS EACH REP 500 ORD SHS,history_error,,0.0,Do not support OTC market data DDHLY
DEENF,stale_csv,2026-04-02,1,False,,,,not_in_futu_basicinfo,,0.0,
DFSLY,stale_csv,2026-05-15,109,True,STOCK,US_PINK,DFSLY DEFENG SOLIFE HLDGS,history_error,,0.0,Do not support OTC market data DFSLY
DFUKF,stale_csv,2026-05-08,3,False,,,,not_in_futu_basicinfo,,0.0,
DMNT,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
DNCLY,empty_csv,,0,True,STOCK,US_PINK,DENA CO LTD UNSPON ADS EACH REP ORD,history_error,,0.0,Do not support OTC market data DNCLY
DPDSY,empty_csv,,0,True,STOCK,US_PINK,DPDSY,history_error,,0.0,Do not support OTC market data DPDSY
DRIL,missing_csv,,0,True,STOCK,US_NYSE,Lannister Mining,history_empty,,0.0,
DSRNY,empty_csv,,0,True,STOCK,US_PINK,DIASORIN SPA UNSPON ADS EACH REP 0.1 ORD,history_error,,0.0,Do not support OTC market data DSRNY
DTRSY,missing_csv,,0,True,STOCK,US_PINK,DATELINE RESOURCES SPON ADS EACH REP 10 ORD SHS,history_error,,0.0,Do not support OTC market data DTRSY
DUTBF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
DYBTY,empty_csv,,0,True,STOCK,US_PINK,DUALITY BIOTHERAPEUTICS INC UNSPON ADS EACH REP 0.33 ORD SHS,history_error,,0.0,Do not support OTC market data DYBTY
EBGCY,missing_csv,,0,True,STOCK,US_PINK,EASTROC BEVERAGE GROUP CO LTD UNSPONS ADS EACH REP 0.5 H SHS,history_error,,0.0,Do not support OTC market data EBGCY
ECR,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
EHAB,stale_csv,2026-05-14,135,True,STOCK,US_NYSE,Enhabit,history_stale,2026-05-14,121.0,
ELFTY,empty_csv,,0,True,STOCK,US_PINK,ELEMENT FLEET MANAGEMENT CORP UNSPON ADS EACH REP 1 COM,history_error,,0.0,Do not support OTC market data ELFTY
ELVG,stale_csv,2026-05-12,8,True,STOCK,US_PINK,ELVICTOR GROUP INC,history_error,,0.0,Do not support OTC market data ELVG
EMI,empty_csv,,0,True,STOCK,US_NYSE,"Encore Medical, Inc.",history_empty,,0.0,
EMRJF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
ENBSF,stale_csv,2026-02-02,1,False,,,,not_in_futu_basicinfo,,0.0,
ENFFF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
ENRD,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
EPDU,empty_csv,,0,True,STOCK,US_PINK,ENTERPRISE PRODS PARTNERS L P PFD UNIT SER A,history_error,,0.0,Do not support OTC market data EPDU
ERBGF,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
EROC,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
ESMR,empty_csv,,0,True,STOCK,US_PINK,E SMART CORP,history_error,,0.0,Do not support OTC market data ESMR
ETSS,missing_csv,,0,True,STOCK,US_NYSE,Energy Transition Special Opportunities,history_empty,,0.0,
EUBG,stale_csv,2026-04-29,80,True,STOCK,US_PINK,ENTREPRENEUR UNIVERSE BRIGHT GROUP,history_error,,0.0,Do not support OTC market data EUBG
EUEV,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
EULLY,missing_csv,,0,True,STOCK,US_PINK,EUROPEAN LITHIUM LTD UNSPON ADS EACH REP 10 ORD,history_error,,0.0,Do not support OTC market data EULLY
EVAWF,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
EVBWF,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
EVON,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
EVTWF,stale_csv,2026-05-11,124,False,,,,not_in_futu_basicinfo,,0.0,
EVVO,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
EWCZ,stale_csv,2026-05-15,133,True,STOCK,US_NASDAQ,European Wax Center,history_stale,2026-05-07,116.0,
EXCBF,stale_csv,2026-05-15,3,False,,,,not_in_futu_basicinfo,,0.0,
EYUBY,empty_csv,,0,True,STOCK,US_PINK,ELECTRICITY GENERATING PUBLIC CO UNSP ADR EACH REP 4 ORD SHS,history_error,,0.0,Do not support OTC market data EYUBY
FBDT,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
FDXF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
FFGG,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
FGO,empty_csv,,0,True,STOCK,US_NASDAQ,FG HOLDINGS LTD,history_empty,,0.0,
FGRS,empty_csv,,0,True,STOCK,US_PINK,FIGURE TECHNOLOGY SOLUTIONS INC,history_error,,0.0,Do not support OTC market data FGRS
FHFFY,empty_csv,,0,True,STOCK,US_PINK,FOSHAN HAITIAN FLAVOURING AND FOOD UNSPON ADS EACH REP 3 ORD H SHARES,history_error,,0.0,Do not support OTC market data FHFFY
FINCF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
